WAF_NAME,KEYWORD,REGEX,HEADER_ONLY,REFERENCE,DESCRIPTION
360WangZhanBao,X-Powered-By-360WZB,^X-Powered-By-360WZB,TRUE,https://github.com/EnableSecurity/wafw00f/,360WangZhanBao
Akamai,ak_bmsc,^Set-Cookie: ak_bmsc=,TRUE,https://community.akamai.com,"Akamai Global Host (aka Edge Server, Edge node)"
Akamai,AkamaiGHost,^Server: AkamaiGHost,TRUE,https://community.akamai.com,"Akamai Global Host (aka Edge Server, Edge node)"
Anquanbao,X-Powered-By-Anquanbao,^X-Powered-By-Anquanbao,TRUE,https://github.com/EnableSecurity/wafw00f/,Anquanbao
Barracuda WAF,BNI__BARRACUDA_LB_COOKIE,^Set-Cookie: BNI__BARRACUDA_LB_COOKIE=,TRUE,https://github.com/EnableSecurity/wafw00f/,Barracuda App Firewall
Barracuda WAF,BNI_persistence,^Set-Cookie: BNI_persistence=,TRUE,https://github.com/EnableSecurity/wafw00f/,Barracuda App Firewall
BinarySec,BinarySec,^Server: BinarySec,TRUE,https://github.com/EnableSecurity/wafw00f/,BinarySec
BinarySec,x-binarysec-via,^x-binarysec-via,TRUE,https://github.com/EnableSecurity/wafw00f/,BinarySec
BinarySec,x-binarysec-nocache,^x-binarysec-nocache,TRUE,https://github.com/EnableSecurity/wafw00f/,BinarySec
ChinaCache,ChinaCache,^Powered-By-ChinaCache,TRUE,https://github.com/EnableSecurity/wafw00f/,ChinaCache CDN
Cisco ACE XML,Server: ACE XML Gateway,^Server: ACE XML Gateway,TRUE,https://github.com/EnableSecurity/wafw00f/,Cisco ACE XML Gateway
Citrix NetScaler,ns_af,^Set-Cookie: ns_af=,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,citrix_ns_id,^Set-Cookie: citrix_ns_id,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,NSC_,^Set-Cookie: NSC_,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,Cneonction,^Cneonction: close,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,Coection,^NnCoection: close,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,NS-CACHE,^Via: NS-CACHE,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,X-client-ip,^X-client-ip,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Citrix NetScaler,pwcount,^Set-Cookie: pwcount,TRUE,https://github.com/EnableSecurity/wafw00f/,Citrix NetScaler
Cloudflare,cloudflare-nginx,^Server: cloudflare-nginx,TRUE,https://github.com/EnableSecurity/wafw00f/,Cloud flare
Cloudflare,__cfduid,^Set-Cookie: __cfduid,TRUE,https://github.com/EnableSecurity/wafw00f/,Cloud flare
Cloudflare,cloudflare,^Server: cloudflare,TRUE,https://www.cloudflare.com,"Cloud-based CDN, WAF & DDoS prevention"
DotDefender,X-dotDefender,^X-dotDefender,TRUE,https://github.com/EnableSecurity/wafw00f/,Applicure dotDefender
F5 Big-IP,BIG-IP-F5,^Set-Cookie: BIG-IP-F5,TRUE,https://support.f5.com,F5 WAF & DDoS prevention
F5 Big-IP APM,MRHSession,^Set-Cookie: MRHSession,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,BigIP,^Server: BigIP,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,BIG-IP,^Server: BIG-IP,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,BIGIP,^Server: BIGIP,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,F5_ST,^Set-Cookie: F5_ST,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,F5_HT,^Set-Cookie: F5_HT,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,LastMRH_Session,^Set-Cookie: LastMRH_Session,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,MRHSequence,^Set-Cookie: MRHSequence,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP APM,MRHSHint,^Set-Cookie: MRHSHint,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 BIG-IP APM
F5 Big-IP ASM,Set-Cookie: TS,"^Set-Cookie: TS[a-zA-Z0-9]{3,8}",TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Big-IP ASM
F5 Big-IP LTM,BIGipServer,^Set-Cookie: BIGipServer,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Big-IP LTM
F5 Firepass,uRoamTestCookie,^Set-Cookie: uRoamTestCookie,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Firepass
F5 Firepass,MRHCId,^Set-Cookie: MRHCId,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Firepass
F5 Firepass,uRoamTestCookie,^Set-Cookie: uRoamTestCookie,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Firepass
F5 Firepass,MRHIntranetSession,^Set-Cookie: MRHIntranetSession,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 Firepass
F5 TrafficShield,F5-TrafficShield,^Server: F5-TrafficShield,TRUE,https://github.com/EnableSecurity/wafw00f/,F5 TrafficShield
HyperGuard,WODSESSION,^Set-Cookier: WODSESSION=,TRUE,https://github.com/EnableSecurity/wafw00f/,Art of Defence HyperGuard
IBM DataPower,X-Backside-Transport,^X-Backside-Transport,TRUE,https://github.com/EnableSecurity/wafw00f/,IBM DataPower
Incapsula CDN,X-CDN: Incapsula,^X-CDN: Incapsula,TRUE,https://www.incapsula.com,"Cloud-based CDN, WAF & DDos prevention"
Incapsula WAF,incap_ses,^Set-Cookie: incap_ses,TRUE,https://github.com/EnableSecurity/wafw00f/,Incapsula WAF
Incapsula WAF,Set-Cookie: visid,^Set-Cookie: visid,TRUE,https://github.com/EnableSecurity/wafw00f/,Incapsula WAF
InfoGuard Airlock,Set-Cookie: AL,^Set-Cookie: AL[_-]?(SESS|LB)=,TRUE,https://github.com/EnableSecurity/wafw00f/,Airlock
MissionControl,Server: Mission Control Application Shield,^Server: Mission Control Application Shield,TRUE,https://github.com/EnableSecurity/wafw00f/,Mission Control Application Shield
ModSecurity,mod_security,^Server: mod_security,TRUE,https://github.com/EnableSecurity/wafw00f/,Trustwave ModSecurity
ModSecurity,Mod_Security,^Server: Mod_Security,TRUE,https://github.com/EnableSecurity/wafw00f/,Trustwave ModSecurity
ModSecurity,NOYB,^Server: NOYB,TRUE,https://github.com/EnableSecurity/wafw00f/,Trustwave ModSecurity
NetContinuum,NCI__SessionId,^Set-Cookie: NCI__SessionId=,TRUE,https://github.com/EnableSecurity/wafw00f/,NetContinuum
NSFocus,NSFocus,^Server: NSFocus,TRUE,https://github.com/EnableSecurity/wafw00f/,NSFocus
PowerCDN,PowerCDN,^Server: PowerCDN,TRUE,https://github.com/EnableSecurity/wafw00f/,PowerCDN
Profense,profense,^Server: profense,TRUE,https://github.com/EnableSecurity/wafw00f/,Profense
Safedog,safedog-flow-item,^Set-Cookie: safedog-flow-item=,TRUE,https://github.com/EnableSecurity/wafw00f/,Safedog
Safedog,Safedog,^Server: Safedog,TRUE,https://github.com/EnableSecurity/wafw00f/,Safedog
Teros WAF,st8id,^Set-Cookie: st8id=,TRUE,https://github.com/EnableSecurity/wafw00f/,Teros WAF
USP Secure Entry Server,Secure Entry Server,^Server: Secure Entry Server,TRUE,https://github.com/EnableSecurity/wafw00f/,USP Secure Entry Server
West263CDN,WT263CDN,^X-Cache: .+WT263CDN-.+,TRUE,https://github.com/EnableSecurity/wafw00f/,West263CDN
ZenEdge Cloud,ZENEDGE,^Server: ZENEDGE,TRUE,https://www.zenedge.com,Cloud-based WAF & DDoS prevention
ZenEdge Cloud,Served-By-Zenedge,^X-Cdn: Served-By-Zenedge,TRUE,https://www.zenedge.com,Cloud-based WAF & DDoS prevention